City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Brokopondo,SR,4.75,-55.1667,81.86,71,70,2.46,broken clouds
299,Lasa,IT,46.6166,10.7002,50.88,78,54,5.3,broken clouds
300,Fort Abbas,PK,29.1925,72.8536,57.7,25,0,1.45,clear sky
301,Ixtapa,MX,20.7,-105.2,67.23,83,1,4.61,clear sky
302,Nemuro,JP,43.3236,145.575,36.19,71,54,12.59,broken clouds
303,Jacareacanga,BR,-6.2222,-57.7528,75.78,97,100,1.07,overcast clouds
304,Loandjili,CG,-4.7561,11.8578,86.11,74,20,9.22,few clouds
305,Saint-Augustin,CA,51.226,-58.6502,12.99,60,42,24.52,scattered clouds
306,Taoudenni,ML,22.6783,-3.9836,84.52,13,0,4.07,clear sky
307,Oussouye,SN,12.485,-16.5469,91.49,14,100,2.51,overcast clouds
308,Kaitong,CN,44.8135,123.15,12.99,94,100,7.87,overcast clouds
309,Los Andes,CL,-32.8337,-70.5983,77.9,33,0,7.4,clear sky
310,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,81,40,29.93,moderate rain
311,Port-Gentil,GA,-0.7193,8.7815,85.96,74,40,11.5,scattered clouds
312,Whitehorse,CA,60.7161,-135.0538,-12.91,69,40,5.01,scattered clouds
313,Golovino,RU,55.9613,40.4251,21.63,96,100,5.88,light snow
314,Misratah,LY,32.3754,15.0925,62.49,62,23,11.05,few clouds
315,Tekeli,KZ,44.83,78.8239,18.28,82,100,6.26,overcast clouds
316,Khandyga,RU,62.6667,135.6,-35.64,100,98,1.39,overcast clouds
317,Vao,NC,-22.6667,167.4833,75.29,62,19,5.64,few clouds
318,Murud,IN,18.3258,72.965,74.25,75,88,6.53,overcast clouds
319,North Bend,US,43.4065,-124.2243,41.94,94,90,12.66,overcast clouds
320,Mocuba,MZ,-16.8392,36.9856,93.99,34,30,10.16,scattered clouds
321,Arlit,NE,18.7369,7.3853,82.17,12,100,3.69,overcast clouds
322,Camacha,PT,33.0833,-16.3333,63.36,63,20,9.22,few clouds
323,Lagoa,PT,39.05,-27.9833,62.06,74,100,19.04,overcast clouds
324,Road Town,VG,18.4167,-64.6167,80.69,89,75,11.5,broken clouds
325,Lhokseumawe,ID,5.1801,97.1507,79.14,83,86,2.06,overcast clouds
326,Yellandu,IN,17.6,80.3333,66.85,60,100,2.66,overcast clouds
327,Manta,EC,-0.95,-80.7333,74.98,83,90,9.22,overcast clouds
328,Semey,KZ,50.4111,80.2275,20.08,84,100,12.15,overcast clouds
329,Hay River,CA,60.8156,-115.7999,-16.62,76,40,3.44,scattered clouds
330,Hailar,CN,49.2,119.7,-10.77,100,89,2.57,overcast clouds
331,Vardo,NO,70.3705,31.1107,28.6,87,100,16.71,overcast clouds
332,Kloulklubed,PW,7.0419,134.2556,82.9,78,75,16.28,broken clouds
333,Sibu,MY,2.3,111.8167,79.11,94,20,0.0,few clouds
334,Alofi,NU,-19.0595,-169.9187,73.29,88,21,3.44,few clouds
335,Norrtalje,SE,59.758,18.705,45.28,92,100,10.29,overcast clouds
336,Ihosy,MG,-22.4,46.1167,80.51,53,15,18.25,few clouds
337,Taksimo,RU,56.3444,114.8794,-22.4,89,100,2.91,overcast clouds
338,Perth,AU,-31.9333,115.8333,67.78,76,0,9.22,clear sky
339,Kihei,US,20.785,-156.4656,73.85,90,1,0.0,clear sky
340,Vilhena,BR,-12.7406,-60.1458,75.42,83,75,19.57,broken clouds
341,Birnin Kebbi,NG,12.4539,4.1975,90.59,8,100,13.13,overcast clouds
342,Sajanan,TN,37.0573,9.2426,57.47,77,93,4.21,overcast clouds
343,Whyalla,AU,-33.0333,137.5833,64.29,77,0,8.05,clear sky
344,Cockburn Town,TC,21.4612,-71.1419,79.29,72,0,22.48,clear sky
